Brand,State,Country,Longitude,Latitude
Starbucks,AK,US,-149.78,61.21
Starbucks,AK,US,-149.84,61.14
Starbucks,AK,US,-149.85,61.11
Starbucks,AK,US,-149.89,61.13
Starbucks,AK,US,-149.86,61.14
Starbucks,AK,US,-149.87,61.19
Starbucks,AK,US,-149.82,61.22
Starbucks,AK,US,-149.98,61.18
Starbucks,AK,US,-149.88,61.18
Starbucks,AK,US,-149.74,61.21
Starbucks,AK,US,-149.74,61.2
Starbucks,AK,US,-149.84,61.14
Starbucks,AK,US,-149.74,61.23
Starbucks,AK,US,-149.92,61.14
Starbucks,AK,US,-149.84,61.18
Starbucks,AK,US,-149.75,61.23
Starbucks,AK,US,-149.96,61.14
Starbucks,AK,US,-149.88,61.13
Starbucks,AK,US,-149.95,61.15
Starbucks,AK,US,-149.98,61.17
Starbucks,AK,US,-149.92,61.19
Starbucks,AK,US,-149.74,61.23
Starbucks,AK,US,-149.89,61.22
Starbucks,AK,US,-149.57,61.32
Starbucks,AK,US,-149.57,61.33
Starbucks,AK,US,-149.55,61.35
Starbucks,AK,US,-147.81,64.84
Starbucks,AK,US,-147.7,64.85
Starbucks,AK,US,-147.82,64.84
Starbucks,AK,US,-147.87,64.82
Starbucks,AK,US,-147.69,64.85
Starbucks,AK,US,-149.68,61.26
Starbucks,AK,US,-147.65,64.83
Starbucks,AK,US,-151.54,59.64
Starbucks,AK,US,-134.55,58.36
Starbucks,AK,US,-134.56,58.36
Starbucks,AK,US,-131.67,55.35
Starbucks,AK,US,-152.37,57.81
Starbucks,AK,US,-147.35,64.76
Starbucks,AK,US,-149.13,61.6
Starbucks,AK,US,-149.12,61.6
Starbucks,AK,US,-149.43,60.13
Starbucks,AK,US,-151.05,60.49
Starbucks,AK,US,-151.07,60.48
Starbucks,AK,US,-149.41,61.58
Starbucks,AK,US,-149.44,61.58
Starbucks,AK,US,-149.41,61.58
Starbucks,AK,US,-149.41,61.58
Starbucks,AL,US,-86.81,33.23
Starbucks,AL,US,-86.8,33.22
Starbucks,AL,US,-86.83,33.21
Starbucks,AL,US,-86.95,34.78
Starbucks,AL,US,-85.46,32.61
Starbucks,AL,US,-85.48,32.61
Starbucks,AL,US,-85.49,32.6
Starbucks,AL,US,-86.93,33.33
Starbucks,AL,US,-86.71,33.43
Starbucks,AL,US,-86.72,33.53
Starbucks,AL,US,-86.8,33.51
Starbucks,AL,US,-86.75,33.56
Starbucks,AL,US,-86.83,33.45
Starbucks,AL,US,-86.67,33.42
Starbucks,AL,US,-86.78,33.46
Starbucks,AL,US,-86.81,33.5
Starbucks,AL,US,-86.81,33.5
Starbucks,AL,US,-86.8,33.51
Starbucks,AL,US,-86.75,33.56
